ID,关联单号,单号,名称,颜色,当前状态,本次试模记录,维修内容,试模确认,试模负责人,试模确认日期,维修次数,试模机台号,使用材料,类型,数量,用料重量,试模用时,单据来源,记录时间,单据类型,使用部门
2306,8556,XM2407103,1558扣垫块(中心组合后模芯),,返修,顶针高不行。返修,"1.顶针坯峰。 2.产品孔坯峰。",返修,张显高,2024-08-01 00:00:00,1,5,锌合金3#,试模,20.0,0.0,0.5,压铸车间,2024-08-01 19:31:39,None,None
2305,8050,XM2403038,1766A-01壳体(模具),,合格报检,待品管部确认,1.后模分流咀断顶针。 2.滑块孔蹦模多料。,合格报检,张显高,2024-08-01 00:00:00,1,5,锌合金3#,试模,20.0,0.0,0.5,压铸车间,2024-08-01 19:28:26,None,None
2304,8357,XM2406082,FM112-02手柄(中心组合模芯),,合格,OK,1#穴产品顶针断，多料。,合格,张显高,2024-08-01 00:00:00,1,5,锌合金3#,试模,20.0,0.0,0.5,压铸车间,2024-08-01 19:27:20,None,None
2303,8381,XM2406053,6917下窗扇枢轴(模具),,合格,OK,产品2#穴顶针坯峰、孔坯峰。,合格,张显高,2024-08-01 00:00:00,2,5,锌合金3#,试模,20.0,0.0,0.5,压铸车间,2024-08-01 19:25:26,None,None
2302,8492,XG2407005,3185-02手柄/9723-02手柄/9723-03转轮(模具),,返修,坯峰太大。,3185-02手柄加大R角，减料，详见图纸；,返修,张显高,2024-08-01 00:00:00,1,5,锌合金3#,试模,20.0,0.0,0.5,技术部,2024-08-01 19:24:44,None,None
2301,8392,GS2404014,7304-01壳体(模具),,返修,坯峰大，顶高,"水纹大、披锋严重、轻微顶高、水口难分离，请修正。  项目跟进人：黎兆发 ",返修,张显高,2024-08-01 00:00:00,2,5,锌合金3#,试模,20.0,0.0,0.5,技术部,2024-08-01 19:23:52,None,None
2300,8493,XG2407004,9723HV-01壳体/3185-01壳体/3185HV-01壳体(模具),,合格报检,待技术部确认,3185HV-01壳体的LOGO修改，加减料；,合格报检,张显高,2024-08-01 00:00:00,1,5,锌合金3#,试模,20.0,0.0,0.5,技术部,2024-08-01 19:22:24,None,None
2299,8448,XM2406091,1250-01壳体/02挡板(模具),,合格报检,,1、1#、2#、5#、6#、7#腔卡点处坯缝大； 2、1#、5#腔分型面坯缝大； 3、另外一端加个同样大小的圆盘； 详见样板，涂红色处。,合格报检,吕经伟,2024-07-31 00:00:00,3,19,PC-2805,试模,8.0,1.5,1.5,注塑车间,2024-07-31 14:09:38,None,None
2298,8422,XM2407026,98183-SB-01L/R壳体(模芯),,合格报检,,1、L边1#腔一支顶针断； 2、L1、L4、R1、R4腔卡位槽里坯缝大； 3、L3螺丝孔下面错位； 4、R1底部后边坯缝大； 详见样板，涂红色处。,合格报检,吕经伟,2024-07-31 00:00:00,1,11,PA6+30%GF,试模,8.0,2.0,2.5,注塑车间,2024-07-31 14:08:44,None,None
2297,8414,XM2407034,690-02手柄*E(模具),,合格,OK,进料咀裂了，漏水！,合格,张显高,2024-07-31 00:00:00,1,5,锌合金3#,试模,20.0,0.0,0.5,压铸车间,2024-07-31 08:41:17,None,None
2296,8263,XM2405037,3383-01壳体(模具),,合格报检,待品管部确认,1.模具坯峰大，产品中心孔碰不穿。 2.8#穴产品进料口多料与底部多料。 3.产品容易顶高。,合格报检,张显高,2024-07-31 00:00:00,1,5,锌合金3#,试模,20.0,0.0,0.5,压铸车间,2024-07-31 08:40:12,None,None
2295,8363,XM2406075,2869-02推键(模具),,合格,OK,模具粘前模进料咀，请考虑减短。,合格,张显高,2024-07-31 00:00:00,1,5,锌合金3#,试模,20.0,0.0,0.5,压铸车间,2024-07-31 08:39:36,None,None
2294,8523,XM2407073,8332扣(模具),,合格报检,待品管部确认,8332扣，中间孔插穿位蹦模多料。,合格报检,张显高,2024-07-31 00:00:00,1,5,锌合金3#,试模,20.0,0.0,0.5,压铸车间,2024-07-31 08:38:46,None,None
2293,8468,KM2406013,69382枢轴,,返修,压不出产品,模具穴数：1出16穴； 材料：锌合金3#  项目跟进人：彭伟凯,返修,张显高,2024-07-31 00:00:00,1,5,锌合金3#,试模,20.0,0.0,0.5,客户,2024-07-31 08:37:23,None,None
2292,8546,XM2407093,CFS-02滑块B(模具),,合格,,"产品前后模表面粘附着物，清理干净模具表面。 详见样板，涂红色处。",合格,吕经伟,2024-07-30 00:00:00,1,01,POM-100P,试模,12.0,3.0,1.5,注塑车间,2024-07-30 10:34:59,None,None
2291,8472,KM2406009,lin3883-01滑块A/lin3883-02滑块B,,合格报检,,1)试验模，lin3883-01滑块A/lin3883-02滑块B共模，各1共2穴， 2)材料：POM-100P，本色 3)试模数量：30模 4)项目负责人：王伟贤,合格报检,吕经伟,2024-07-30 00:00:00,1,01,POM-100P,试模,30.0,3.0,1.5,开窗器项目部,2024-07-30 10:34:20,None,None
2290,8172,XM2403074,690-01壳体(模具),,返修,没有修好,产品4#穴顶针坯峰，后模拉伤严重。,返修,张显高,2024-07-30 00:00:00,2,5,锌合金3#,试模,20.0,0.0,0.5,压铸车间,2024-07-30 09:39:41,None,None
2289,8381,XM2406053,6917下窗扇枢轴(模具),,返修,2#穴顶针断，请安排更换,产品2#穴顶针坯峰、孔坯峰。,返修,张显高,2024-07-30 00:00:00,1,5,锌合金3#,试模,20.0,0.0,0.5,压铸车间,2024-07-30 09:38:35,None,None
2288,8481,GM2407001,9360扣(模具),,合格报检,产品表面水纹大。,*在9360扣模具上改模：扣位A1改为对称，添加标识A2，得到9360A扣； 改模后9360扣将被9360A扣替代； ,合格报检,张显高,2024-07-30 00:00:00,1,5,锌合金3#,试模,20.0,0.0,0.5,技术部,2024-07-30 09:33:57,None,None
2287,8549,XM2407097,9386B扣(模具),,合格,OK,产品进料口与渣包位有沙孔。附样板,合格,张显高,2024-07-30 00:00:00,1,5,锌合金3#,试模,20.0,0.0,0.5,压铸车间,2024-07-30 09:32:43,None,None
2286,8467,KM2406014,13034扣,,返修,产品表面水纹严重。,模具穴数：组合模芯（1出4） 材料：锌合金3#  项目跟进人：黎兆发,返修,张显高,2024-07-30 00:00:00,1,5,锌合金3#,试模,20.0,0.0,0.5,客户,2024-07-30 09:15:51,None,None
2285,8451,XM2406087,32801-03手柄(模具),,先生产再修,除4#腔外，其他各腔插穿位台阶处坯缝大。详见样板，涂红色处。,1、所有腔分型坯缝大； 2、8#腔斜顶处坯缝大； 3、除去1#、0#腔外其他腔圆顶坯缝大； 详见样板，涂红色处。,先生产再修,吕经伟,2024-07-29 00:00:00,1,13,PA6+30%GF,试模,8.0,2.0,2.0,注塑车间,2024-07-29 13:50:34,None,None
2284,8474,KM2406006,9364A扣,,返修,"1.烘烤5模有一个有小泡。 2.产品坯峰大。 ",模具穴数：1出8穴，只开模芯，共用9364的模架；  材料：锌合金3#  项目跟进人：黎兆发,返修,张显高,2024-07-29 00:00:00,2,5,锌合金3#,试模,20.0,0.0,0.5,客户,2024-07-29 10:55:52,None,None
2283,8531,XM2407080,1760-02-SB舌头/1756-04轴(模具),,合格报检,,"5#、6#腔分型面坯缝大； 详见样板，涂红色处。",合格报检,吕经伟,2024-07-29 00:00:00,1,22,PA6-B30S,试模,8.0,2.0,1.5,注塑车间,2024-07-29 09:22:47,None,None
2282,8504,XM2407055,1130-01壳体/1010压片(模架),,合格报检,,"1010:进胶口加厚0.6mm. 详见样板，涂红色处。",合格报检,吕经伟,2024-07-29 00:00:00,1,33,PA6-B30S,试模,10.0,2.0,1.5,注塑车间,2024-07-29 09:22:21,None,None
2281,8099,XM2404016,8597扣(偏心组合模芯),,合格报检,,产品烘烤起泡。,合格报检,张显高,2024-07-29 00:00:00,6,5,锌合金3#,试模,20.0,0.0,0.5,压铸车间,2024-07-29 08:36:16,None,None
2280,7956,XM2402035,13017锁扣(模具),,返修,"1.生产出来有起泡。 2.螺丝孔有坯峰。",1.产品无穴号、有一穴粘前模。 2.产品孔有坯峰，要求要碰穿。 3.产品水纹大、烘烤起泡。 4.产品有拉伤。（附样板),返修,张显高,2024-07-29 00:00:00,1,5,锌合金3#,试模,20.0,0.0,0.5,压铸车间,2024-07-29 08:32:36,None,None
2279,8367,XM2406071,4321-01壳体/92271A-01壳体（热流道前模),,合格报检,"1、0#腔烧焦； 2、1#腔坯缝大； 详见样板，涂红色处。",4321-01: 1、所有腔分型面坯缝大； 2、需开排气（按深色烧焦处位置） 详见样板，涂红色处。 ,合格报检,吕经伟,2024-07-29 00:00:00,1,16,PA6+30%GF,试模,8.0,2.0,1.5,注塑车间,2024-07-29 08:09:18,None,None
2278,8517,XM2407067,PC003防护套(模具),,合格,,"产品易粘前模，后模两个耳朵里打倒扣； 详见样板，涂红色处。",合格,吕经伟,2024-07-27 00:00:00,1,33,PA6+30%GF,试模,12.0,2.0,1.0,注塑车间,2024-07-27 11:51:55,None,None
